Middle layer Super Output Areas Code,Middle layer Super Output Areas,Female,Male,Total
E02000587,Kensington and Chelsea 011,3482,3014,6496
E02000588,Kensington and Chelsea 012,3151,2832,5983
E02000589,Kensington and Chelsea 013,3654,3596,7250
E02000590,Kensington and Chelsea 014,3317,2657,5974
E02000591,Kensington and Chelsea 015,3286,2926,6212
E02000592,Kensington and Chelsea 016,2994,2770,5764
E02000593,Kensington and Chelsea 017,3773,3620,7393
E02000594,Kensington and Chelsea 018,3642,2840,6482
E02000595,Kensington and Chelsea 019,3454,2710,6164
E02000596,Kensington and Chelsea 020,3454,3164,6618
E02000597,Kensington and Chelsea 021,3463,2873,6336
E02000598,Kingston upon Thames 001,4178,3915,8093
E02000599,Kingston upon Thames 002,3682,3326,7008
E02000600,Kingston upon Thames 003,4411,3949,8360
E02000601,Kingston upon Thames 004,6099,5805,11904
E02000602,Kingston upon Thames 005,5482,4831,10313
E02000603,Kingston upon Thames 006,4509,4127,8636
E02000604,Kingston upon Thames 007,4831,4410,9241
E02000605,Kingston upon Thames 008,4396,4093,8489
E02000606,Kingston upon Thames 009,5495,5066,10561
E02000607,Kingston upon Thames 010,3549,3244,6793
E02000608,Kingston upon Thames 011,3644,3555,7199
E02000609,Kingston upon Thames 012,3857,3771,7628
E02000610,Kingston upon Thames 013,4118,3835,7953
E02000611,Kingston upon Thames 014,3802,3638,7440
E02000612,Kingston upon Thames 015,4252,4000,8252
E02000613,Kingston upon Thames 016,4215,3878,8093
E02000614,Kingston upon Thames 017,4745,4549,9294
E02000615,Kingston upon Thames 018,4076,3804,7880
E02000616,Kingston upon Thames 019,3093,2968,6061
E02000617,Kingston upon Thames 020,4611,4252,8863
E02000619,Lambeth 002,4660,4439,9099
E02000620,Lambeth 003,4844,5001,9845
E02000621,Lambeth 004,6131,6389,12520
E02000622,Lambeth 005,4120,4284,8404
E02000623,Lambeth 006,4017,3842,7859
E02000624,Lambeth 007,4792,4839,9631
E02000625,Lambeth 008,4717,4585,9302
E02000626,Lambeth 009,4399,3963,8362
E02000627,Lambeth 010,5040,4516,9556
E02000628,Lambeth 011,5520,5265,10785
E02000629,Lambeth 012,4597,4520,9117
E02000630,Lambeth 013,3884,3654,7538
E02000631,Lambeth 014,4939,4586,9525
E02000632,Lambeth 015,4898,4688,9586
E02000633,Lambeth 016,4783,4377,9160
E02000634,Lambeth 017,3605,3168,6773
E02000635,Lambeth 018,5069,4743,9812
E02000636,Lambeth 019,3988,3729,7717
E02000637,Lambeth 020,4390,4013,8403
E02000638,Lambeth 021,5122,5133,10255
E02000639,Lambeth 022,4226,4095,8321
E02000640,Lambeth 023,4957,4336,9293
E02000641,Lambeth 024,4706,3924,8630
E02000642,Lambeth 025,5138,4671,9809
E02000643,Lambeth 026,4780,4598,9378
E02000644,Lambeth 027,4466,4055,8521
E02000645,Lambeth 028,5015,4518,9533
E02000646,Lambeth 029,4971,4526,9497
E02000647,Lambeth 030,4478,4115,8593
E02000648,Lambeth 031,4277,3548,7825
E02000649,Lambeth 032,6351,6126,12477
E02000650,Lambeth 033,4051,3615,7666
E02000651,Lambeth 034,4518,4217,8735
